Rank,EntryId,EntryName,TimeRemaining,Points,Lineup,,Player,Roster Position,%Drafted,FPTS
71,1159232761,fockinDonny,0,151.35,P German Márquez P John Gant SS Manny Machado OF Mitch Haniger 3B Matt Chapman 2B Jed Lowrie 1B Freddie Freeman OF Nicholas Castellanos OF José Martínez C Yadier Molina,,Trevor Story,SS,4.37%,8
71,1159461793,foonaucka,0,151.35,P German Márquez P John Gant OF Mookie Betts OF Andrew Benintendi 2B Jose Altuve OF Mitch Haniger 1B Freddie Freeman 3B Johan Camargo SS Ketel Marte C Jonathan Lucroy,,Adam Duvall,OF,4.33%,0
73,1159622410,gerg,0,150.9,P German Márquez P Joe Musgrove OF Giancarlo Stanton OF Aaron Hicks 3B Miguel Andújar 2B Gleyber Torres OF Matt Kemp 1B Luke Voit SS Johan Camargo C James McCann,,Lucas Giolito,P,4.29%,25.25
74,1159394834,Swartz2105,0,150.65,P Rich Hill P German Márquez OF Giancarlo Stanton OF Gregory Polanco OF George Springer 1B Luke Voit SS Johan Camargo 3B Kyle Seager 2B Niko Goodrum C James McCann,,Josh Reddick,OF,4.25%,2
75,1159399118,jdbond39,0,150.6,P Justin Verlander P German Márquez OF Giancarlo Stanton OF Daniel Palka 1B Luke Voit 2B Ian Kinsler 3B Kyle Seager SS Andrelton Simmons OF Shane Robinson C James McCann,,Mark Canha,OF,4.16%,0
75,1159539821,dbdrake,0,150.6,P German Márquez P Robbie Ray OF Giancarlo Stanton 2B Gleyber Torres OF Nelson Cruz OF Daniel Palka 1B Luke Voit SS Marcus Semien 3B Eduardo Núñez C Kevan Smith,,Nick Markakis,OF,4.12%,0
77,1159528693,vgk32,0,150.45,P German Márquez P Lucas Giolito OF J.D. Martinez OF Mookie Betts 3B Alex Bregman 1B Tyler White OF Matt Holliday 2B Ian Kinsler SS Brock Holt C Kevan Smith,,Ketel Marte,SS,4.04%,6
78,1159061501,JBTribeTime,0,150.35,P German Márquez P John Gant SS Trevor Story OF Aaron Hicks OF Khris Davis 2B Gleyber Torres OF Mitch Haniger 1B Luke Voit 3B Kyle Seager C James McCann,,Victor Martinez,1B,4.04%,32
78,1159222746,dwalke16,0,150.35,P German Márquez P John Gant OF Mookie Betts 3B Alex Bregman OF Giancarlo Stanton 1B Luke Voit SS Johan Camargo 2B Eduardo Núñez OF Matt Adams C Jonathan Lucroy,,Brian Dozier,2B,3.91%,3
78,1159595386,krazychemist,0,150.35,P German Márquez P John Gant OF J.D. Martinez OF Mookie Betts OF Giancarlo Stanton 1B Neil Walker SS Johan Camargo 3B Eduardo Núñez 2B Ketel Marte C Jonathan Lucroy,,Yuli Gurriel,1B,3.91%,0
81,1159180747,Firewalker_2015,0,149.9,P German Márquez P Joe Musgrove OF Giancarlo Stanton 3B Justin Turner 2B Gleyber Torres SS Kiké Hernández OF Jackie Bradley Jr. 1B Luke Voit OF Stephen Piscotty C Willson Contreras,,Wade LeBlanc,P,3.87%,24.15
82,1159158346,GoonieFace,0,149.85,P Rick Porcello P German Márquez OF J.D. Martinez 2B Robinson Canó OF Matt Kemp 1B Luke Voit SS Johan Camargo 3B Kyle Seager OF Niko Goodrum C Jonathan Lucroy,,Martín Maldonado,C,3.83%,3
83,1159569924,jarhead74,0,149.7,P German Márquez P Frankie Montas OF Mookie Betts OF Giancarlo Stanton 3B Miguel Andújar 2B Gleyber Torres 1B Luke Voit OF Stephen Piscotty SS Marcus Semien C Jonathan Lucroy,,Matt Kemp,OF,3.78%,6
84,1159602801,jlipps46,0,149.65,P German Márquez P Eric Lauer OF J.D. Martinez OF Mookie Betts OF Giancarlo Stanton SS Xander Bogaerts 3B Eduardo Escobar 1B Luke Voit 2B Eduardo Núñez C Sandy Leon,,Mikie Mahtook,OF,3.78%,0
85,1159555764,jaclynrhea,0,149.6,P German Márquez P Robbie Ray OF Giancarlo Stanton 3B Miguel Andújar 2B Gleyber Torres SS Carlos Correa 1B Luke Voit C Kyle Higashioka OF Mark Canha OF Kole Calhoun,,Justin Turner,3B,3.74%,5
86,1159427185,lilcharney81,0,149.35,P German Márquez P John Gant OF Mookie Betts 3B Alex Bregman OF Giancarlo Stanton 1B Luke Voit SS Marcus Semien 2B Brock Holt OF Matt Adams C Jonathan Lucroy,,Jeimer Candelario,3B,3.32%,14
86,1159439120,millionairemind,0,149.35,P German Márquez P John Gant OF J.D. Martinez OF Mookie Betts SS Marwin González OF Jackie Bradley Jr. 1B Luke Voit 2B Ian Kinsler 3B Eduardo Núñez C Kyle Higashioka,,Ronny Rodriguez,2B,3.28%,19
86,1159453740,leftygolfer01,0,149.35,P German Márquez P John Gant OF Mookie Betts 3B Alex Bregman OF Giancarlo Stanton 1B Luke Voit SS Marcus Semien 2B Brock Holt OF Matt Adams C Jonathan Lucroy,,Colin Moran,3B,3.15%,0
89,1159581608,finntowin2016,0,148.95,P Joe Musgrove P Lucas Giolito OF Mookie Betts OF Giancarlo Stanton SS Manny Machado OF Ronald Acuña Jr. 1B Anthony Rizzo 2B Gleyber Torres 3B Eduardo Escobar C John Ryan Murphy,,Charlie Blackmon,OF,3.07%,5
90,1159559940,gigoloJoe,0,148.9,P German Márquez P Joe Musgrove OF Giancarlo Stanton 3B Miguel Andújar 2B Gleyber Torres 1B Tyler White OF Nicholas Castellanos SS Johan Camargo OF Steven Souza Jr. C Sandy Leon,,Daniel Palka,OF,3.07%,5
91,1159099993,aronowm2,0,148.6,P German Márquez P Robbie Ray 3B Alex Bregman OF Giancarlo Stanton 2B Gleyber Torres OF Nicholas Castellanos OF Marwin González 1B Luke Voit C Jonathan Lucroy SS Greg Garcia,,David Fletcher,2B,2.99%,3
91,1159575719,jayballin08,0,148.6,P Justin Verlander P German Márquez OF Giancarlo Stanton 3B Miguel Andújar OF Nicholas Castellanos SS Ketel Marte OF JaCoby Jones 2B David Fletcher 1B Victor Martinez C James McCann,,Niko Goodrum,2B,2.99%,30
93,1159475891,redyimmy,0,148.55,P Justin Verlander P John Gant OF J.D. Martinez OF Giancarlo Stanton OF David Peralta SS Nick Ahmed C Francisco Arcia 2B David Fletcher 1B Victor Martinez 3B Kaleb Cowart,,Ozzie Albies,2B,2.90%,3
94,1159549460,bizzy1999,0,148.5,P Justin Verlander P Mike Foltynewicz OF Giancarlo Stanton 3B Eduardo Núñez SS Brock Holt OF Niko Goodrum 1B Victor Martinez 2B Ronny Rodriguez C Sandy Leon OF Kaleb Cowart,,Eric Lauer,P,2.86%,13.45
95,1159543745,jbeck2015,0,148.45,P German Márquez P Lucas Giolito OF Mookie Betts 3B Alex Bregman SS Manny Machado 1B Tyler White 2B Daniel Murphy OF José Martínez OF Jackie Bradley Jr. C Tony Wolters,,Matt Holliday,OF,2.82%,7
95,1159566179,gdaddy80,0,148.45,P German Márquez P Lucas Giolito 3B Alex Bregman OF Giancarlo Stanton OF Aaron Hicks 1B Tyler White 2B Brian Dozier OF Matt Kemp C Yadier Molina SS Johan Camargo,,Dee Gordon,OF,2.73%,8
97,1159425895,rjones11,0,147.9,P German Márquez P Joe Musgrove OF J.D. Martinez OF Mookie Betts OF Giancarlo Stanton 1B Luke Voit 2B Eduardo Núñez SS Brock Holt 3B Kyle Seager C Sandy Leon,,Carlos González,OF,2.73%,3
97,1159503374,tthousand66,0,147.9,P German Márquez P Joe Musgrove OF Giancarlo Stanton OF Aaron Hicks 3B Miguel Andújar 2B Gleyber Torres OF Nicholas Castellanos 1B Luke Voit SS Brock Holt C James McCann,,Paul DeJong,SS,2.73%,2
99,1159481201,rakers13,0,147.65,P Rich Hill P German Márquez OF Giancarlo Stanton OF Gregory Polanco OF George Springer 1B Luke Voit SS Marcus Semien 3B Kyle Seager 2B Niko Goodrum C James McCann,,Jordy Mercer,SS,2.73%,2
100,1159551787,allaccess,0,147.6,P German Márquez P Robbie Ray OF J.D. Martinez OF Mookie Betts 1B Freddie Freeman 2B Ozzie Albies C Yadier Molina OF Kole Calhoun 3B David Fletcher SS Greg Garcia,,Javier Báez,2B,2.69%,0
100,1159597881,wanders64,0,147.6,P Justin Verlander P German Márquez 3B Nolan Arenado OF Starling Marte OF Nicholas Castellanos OF Mikie Mahtook 2B Niko Goodrum 1B Victor Martinez C James McCann SS Greg Garcia,,Anthony Rizzo,1B,2.65%,4
