Rank,EntryId,EntryName,TimeRemaining,Points,Lineup,,Player,Roster Position,%Drafted,FPTS
63,1139853480,buchris532 (16/20),0,150.45,P Marco Gonzales P Clay Buchholz OF A.J. Pollock SS Nick Ahmed 3B Mike Moustakas OF Andrew McCutchen 1B Ryan Braun OF Hernán Pérez 2B Alen Hanson C Buster Posey,,Cory Spangenberg,2B,0.22%,0
63,1139853495,buchris532 (17/20),0,150.45,P Marco Gonzales P Clay Buchholz OF A.J. Pollock SS Nick Ahmed 3B Mike Moustakas OF Andrew McCutchen 1B Ryan Braun OF Hernán Pérez 2B Alen Hanson C Buster Posey,,Chase d'Arnaud,2B,0.21%,0
63,1140074641,lamondatd,0,150.45,P Marco Gonzales P Clay Buchholz OF Christian Yelich 1B Paul Goldschmidt SS Jean Segura 2B Dee Gordon OF Ryan Braun 3B Kyle Seager C Mike Zunino OF Ben Gamel,,Hunter Pence,OF,0.15%,0
63,1140091930,jjsbigdboys (2/4),0,150.45,P Marco Gonzales P Clay Buchholz OF Christian Yelich OF A.J. Pollock SS Nick Ahmed 2B Dee Gordon 1B Ryan Braun OF Chris Owings 3B Evan Longoria C Mike Zunino,,Erik Kratz,C,0.15%,0
71,1139773745,kelly11607 (16/20),0,150.2,P Marco Gonzales P Andrew Suárez 1B Paul Goldschmidt SS Jean Segura OF Denard Span OF Mitch Haniger OF Nelson Cruz 2B Dee Gordon C Buster Posey 3B David Fletcher,,Guillermo Heredia,OF,0.13%,0
72,1139644416,kalsebastian (1/3),0,149.45,P Marco Gonzales P Clay Buchholz 1B Paul Goldschmidt SS Eduardo Escobar OF Nelson Cruz OF Justin Upton 2B Dee Gordon OF Ryan Braun C Buster Posey 3B Kyle Seager,,Tyler Saladino,SS,0.13%,0
72,1139644436,kalsebastian (2/3),0,149.45,P Marco Gonzales P Clay Buchholz 1B Paul Goldschmidt SS Eduardo Escobar OF Nelson Cruz OF Justin Upton 2B Dee Gordon OF Ryan Braun C Buster Posey 3B Kyle Seager,,Mac Williamson,OF,0.11%,0
72,1139644487,kalsebastian (3/3),0,149.45,P Marco Gonzales P Clay Buchholz 1B Paul Goldschmidt SS Eduardo Escobar OF Nelson Cruz OF Justin Upton 2B Dee Gordon OF Ryan Braun C Buster Posey 3B Kyle Seager,,Daniel Vogelbach,1B,0.11%,0
72,1139788826,joeyfoley (4/20),0,149.45,P Marco Gonzales P Clay Buchholz 1B Paul Goldschmidt OF Wil Myers OF Mitch Haniger OF Justin Upton 3B Mike Moustakas 2B Dee Gordon SS Freddy Galvis C Mike Zunino,,Austin Slater,OF,0.11%,3
72,1140049143,Gobluedp (20/20),0,149.45,P Clay Buchholz P Andrew Suárez OF Mike Trout OF A.J. Pollock 1B Paul Goldschmidt SS Nick Ahmed 2B Ketel Marte OF Steven Souza Jr. C Buster Posey 3B Pablo Sandoval,,Keon Broxton,OF,0.08%,0
72,1140062087,izzo1981,0,149.45,P Marco Gonzales P Clay Buchholz 1B Paul Goldschmidt OF Wil Myers OF Mitch Haniger SS Ketel Marte 3B Mike Moustakas 2B Dee Gordon C Mike Zunino OF Ben Gamel,,Ryder Jones,3B,0.08%,0
72,1140063074,Rossy1979 (2/3),0,149.45,P Clay Buchholz P Andrew Suárez OF Mike Trout 1B Paul Goldschmidt OF Wil Myers OF Denard Span 2B Dee Gordon SS Brandon Crawford C Buster Posey 3B David Fletcher,,Clayton Richard,P,0.08%,0
72,1140068626,roberturner11,0,149.45,P Clay Buchholz P Andrew Suárez OF Mike Trout OF A.J. Pollock 1B Paul Goldschmidt 2B Ketel Marte OF Justin Upton SS Brandon Crawford C Buster Posey 3B Evan Longoria,,Luis Valbuena,3B,0.07%,0
72,1140093306,thespear007,0,149.45,P Marco Gonzales P Clay Buchholz OF A.J. Pollock 1B Paul Goldschmidt SS Nick Ahmed OF David Peralta OF Ryan Braun 2B Hernán Pérez 3B Evan Longoria C Manny Piña,,Sócrates Brito,OF,0.07%,0
72,1140095160,csvt2354 (16/20),0,149.45,P Clay Buchholz P Andrew Suárez OF A.J. Pollock 1B Paul Goldschmidt SS Jean Segura OF Nelson Cruz OF Justin Upton 2B Dee Gordon C Buster Posey 3B Kyle Seager,,Pavin Smith,1B,0.07%,0
82,1139684090,pandamanda (4/6),0,148.45,P Clay Buchholz P Andrew Suárez SS Nick Ahmed 2B Ketel Marte OF Justin Upton OF Andrew McCutchen OF Gorkys Hernández C Buster Posey 1B Pablo Sandoval 3B Jefry Marte,,Cameron Rupp,C,0.06%,0
82,1139825954,BeerGutMan (11/20),0,148.45,P Clay Buchholz P Andrew Suárez OF Mike Trout OF A.J. Pollock 1B Paul Goldschmidt SS Jean Segura OF Mitch Haniger 2B Dee Gordon C Buster Posey 3B David Fletcher,,Kelby Tomlinson,SS,0.06%,0
82,1139850110,icealford (11/20),0,148.45,P Marco Gonzales P Clay Buchholz OF A.J. Pollock SS Nick Ahmed OF Denard Span 2B Dee Gordon 1B Ryan Braun OF Chris Owings 3B Evan Longoria C John Ryan Murphy,,Anthony Recker,C,0.06%,0
82,1139854251,nyo420 (2/20),0,148.45,P Marco Gonzales P Clay Buchholz OF Mike Trout OF A.J. Pollock 2B Dee Gordon 1B Ryan Braun SS Brandon Crawford 3B Kyle Seager C Mike Zunino OF Ben Gamel,,Kristopher Negrón,OF,0.06%,0
82,1139966266,mangle54 (6/20),0,148.45,P Marco Gonzales P Clay Buchholz 1B Paul Goldschmidt SS Jean Segura OF Lorenzo Cain OF Denard Span OF Ryan Braun 2B Alen Hanson C Buster Posey 3B Pablo Sandoval,,Jett Bandy,C,0.06%,0
82,1140021431,eagsixcards (2/10),0,148.45,P Marco Gonzales P Clay Buchholz OF Christian Yelich OF A.J. Pollock 1B Paul Goldschmidt SS Andrelton Simmons 2B Hernán Pérez 3B Pablo Sandoval OF Ben Gamel C John Ryan Murphy,,Chase Headley,1B,0.06%,0
82,1140049112,mholt01 (2/2),0,148.45,P Marco Gonzales P Clay Buchholz 1B Paul Goldschmidt SS Nick Ahmed OF Lorenzo Cain OF Nelson Cruz 2B Dee Gordon 3B Kyle Seager C Mike Zunino OF Ben Gamel,,Dusty Coleman,3B,0.06%,0
82,1140086158,DJIRWIN (7/7),0,148.45,P Marco Gonzales P Clay Buchholz OF A.J. Pollock 1B Paul Goldschmidt SS Nick Ahmed 2B Ketel Marte OF Dee Gordon 3B Kyle Seager OF Ben Gamel C John Ryan Murphy,,Shane Peterson,OF,0.06%,0
82,1140088092,maygi557 (13/13),0,148.45,P Marco Gonzales P Clay Buchholz OF Christian Yelich SS Nick Ahmed OF Nelson Cruz OF Andrew McCutchen 2B Dee Gordon C Buster Posey 3B Evan Longoria 1B Pablo Sandoval,,Brad Miller,2B,0.04%,0
82,1140098352,mackatal24,0,148.45,P Marco Gonzales P Clay Buchholz OF Mike Trout SS Jean Segura 2B Dee Gordon 1B Ryan Braun OF Steven Duggar C Buster Posey 3B Kyle Seager OF Ben Gamel,,Chris Herrmann,C,0.04%,0
92,1139964805,worm1977 (4/5),0,148.2,P Marco Gonzales P Andrew Suárez OF A.J. Pollock SS Nick Ahmed OF Denard Span OF Steven Souza Jr. 2B Dee Gordon 1B Eric Hosmer C Buster Posey 3B Kyle Seager,,Jeff Mathis,C,0.04%,0
93,1140094889,THECableGuy (1/2),0,147.55,P Junior Guerra P Clay Buchholz OF A.J. Pollock OF Wil Myers OF Justin Upton 2B Dee Gordon SS Brandon Crawford C Buster Posey 3B Evan Longoria 1B Pablo Sandoval,,Allen Córdoba,SS,0.04%,0
94,1139636672,bigsmooth542002,0,147.45,P Clay Buchholz P Andrew Suárez OF Mike Trout 1B Paul Goldschmidt SS Jean Segura OF David Peralta OF Justin Upton 2B Dee Gordon C Buster Posey 3B Evan Longoria,,Andrés Blanco,2B,0.04%,0
94,1139813047,yaupon (2/5),0,147.45,P Marco Gonzales P Clay Buchholz SS Nick Ahmed OF Mitch Haniger OF Nelson Cruz 3B Mike Moustakas OF Dee Gordon 1B Ryan Braun 2B Hernán Pérez C Mike Zunino,,Cody Ponce,P,0.04%,0
94,1139838232,swofford123,0,147.45,P Marco Gonzales P Clay Buchholz OF A.J. Pollock SS Jean Segura OF Mitch Haniger 2B Dee Gordon OF Ryan Braun 1B Ryon Healy C Buster Posey 3B Evan Longoria,,Kevin Maitan,SS,0.04%,0
94,1139947209,Tobyhound2 (4/6),0,147.45,P Clay Buchholz P Andrew Suárez OF Mike Trout OF A.J. Pollock 1B Paul Goldschmidt SS Nick Ahmed 3B Mike Moustakas 2B Dee Gordon OF Steven Duggar C Buster Posey,,Ildemaro Vargas,2B,0.04%,0
94,1139956249,mangle54 (2/20),0,147.45,P Marco Gonzales P Clay Buchholz OF A.J. Pollock 1B Paul Goldschmidt OF Andrew McCutchen OF Ryan Braun SS Brandon Crawford 2B Hernán Pérez C Buster Posey 3B Kyle Seager,,Madison Bumgarner,P,0.04%,0
94,1139956284,mangle54 (3/20),0,147.45,P Marco Gonzales P Clay Buchholz OF A.J. Pollock 1B Paul Goldschmidt OF Andrew McCutchen OF Ryan Braun SS Brandon Crawford 2B Hernán Pérez C Buster Posey 3B Kyle Seager,,John Andreoli,OF,0.04%,0
