Rank,EntryId,EntryName,TimeRemaining,Points,Lineup,,Player,Roster Position,%Drafted,FPTS
66,1159370755,Redman910 (3/8),0,132.65,P German Márquez P Eric Lauer OF J.D. Martinez OF Giancarlo Stanton OF Aaron Hicks SS Xander Bogaerts 3B Miguel Andújar 1B Luke Voit 2B Eduardo Núñez C Jonathan Lucroy,,Yuli Gurriel,1B,5.26%,0
66,1159378941,Redman910 (6/8),0,132.65,P German Márquez P Eric Lauer OF J.D. Martinez OF Giancarlo Stanton OF Aaron Hicks SS Xander Bogaerts 3B Miguel Andújar 1B Luke Voit 2B Eduardo Núñez C Jonathan Lucroy,,Ramón Laureano,OF,5.05%,7
66,1159404484,darsh314 (2/2),0,132.65,P Rich Hill P German Márquez OF Giancarlo Stanton OF George Springer 1B Freddie Freeman 2B Robinson Canó SS Marcus Semien 3B Kyle Seager OF Kole Calhoun C Mike Zunino,,Brian Dozier,2B,4.84%,3
72,1159182413,kenaygman (2/2),0,132.6,P German Márquez P Robbie Ray 3B Alex Bregman OF Giancarlo Stanton 1B Tyler White OF Marwin González OF José Martínez 2B Neil Walker C Mike Zunino SS Greg Garcia,,Mitch Haniger,OF,4.84%,17
73,1159369062,nyo420 (3/10),0,132.2,P German Márquez OF Giancarlo Stanton SS Manny Machado OF Khris Davis 3B Miguel Andújar 2B Gleyber Torres 1B Paul Goldschmidt OF Mitch Haniger C Jonathan Lucroy P Wade Davis,,Matt Kemp,OF,4.63%,6
74,1159291527,westvols (3/10),0,131.9,P Rick Porcello P Lucas Giolito OF Giancarlo Stanton OF Aaron Hicks 3B Miguel Andújar 2B Gleyber Torres OF George Springer 1B Luke Voit SS Johan Camargo C Sandy Leon,,Lucas Giolito,P,4.42%,25.25
75,1159133874,draftkingzman (2/2),0,130.95,P J.A. Happ P German Márquez OF Giancarlo Stanton OF Aaron Hicks 1B Tyler White 2B Ian Kinsler 3B Yolmer Sánchez OF Steven Souza Jr. C Sandy Leon SS Greg Garcia,,Andrew Heaney,P,4.42%,25.9
76,1159404365,Isaacdawson55 (1/3),0,130.7,P Eric Lauer P Lucas Giolito OF Mookie Betts SS Alex Bregman OF Giancarlo Stanton 3B Miguel Andújar 2B Jose Altuve OF Gregory Polanco C Kurt Suzuki 1B Luke Voit,,Anthony Rizzo,1B,4.21%,4
77,1159134315,mirandatx (8/10),0,129.9,P German Márquez P Joe Musgrove OF J.D. Martinez OF Mookie Betts SS Manny Machado 1B Anthony Rizzo 2B Ian Kinsler 3B Eduardo Núñez OF Shane Robinson C Sandy Leon,,A.J. Pollock,OF,4.21%,2
78,1159142507,Nklivin24,0,129.85,P Rick Porcello P German Márquez OF Giancarlo Stanton OF Starling Marte 2B Robinson Canó 1B Luke Voit SS Marcus Semien OF Matt Adams 3B Kyle Seager C Mike Zunino,,Ronny Rodriguez,3B,4.21%,19
79,1159369098,nyo420 (10/10),0,129.75,P German Márquez OF Giancarlo Stanton SS Manny Machado OF Charlie Blackmon 3B Miguel Andújar 2B Gleyber Torres 1B Paul Goldschmidt OF Nelson Cruz C Jonathan Lucroy P Robert Stock,,Austin Hedges,C,4.21%,12
80,1159153200,Rollintr,0,129.65,P Justin Verlander P Lucas Giolito OF Giancarlo Stanton 3B Miguel Andújar 2B Gleyber Torres OF Nicholas Castellanos OF Nicky Delmonico 1B Matt Davidson SS Jordy Mercer C James McCann,,Matt Holliday,OF,4.21%,7
81,1159348130,Funniebe2013,0,128.85,P Justin Verlander P Eric Lauer OF Mookie Betts OF Giancarlo Stanton 1B Luke Voit SS Marcus Semien 2B Ian Kinsler 3B Eduardo Núñez C Kyle Higashioka OF Shane Robinson,,Victor Martinez,1B,4.00%,32
81,1159411647,metacognition (1/8),0,128.85,P Justin Verlander P Eric Lauer OF Mookie Betts OF Giancarlo Stanton 1B Luke Voit SS Marcus Semien 2B Ian Kinsler 3B Eduardo Núñez C Kyle Higashioka OF Shane Robinson,,Paul DeJong,SS,4.00%,2
83,1159411651,metacognition (5/8),0,128.65,P German Márquez P Eric Lauer OF J.D. Martinez OF Mookie Betts SS Xander Bogaerts OF Starling Marte C Francisco Cervelli 2B Ian Kinsler 3B Eduardo Núñez 1B Josh Bell,,Francisco Cervelli,C,4.00%,3
84,1159218001,the_Profhet (8/10),0,128.6,P German Márquez P Robbie Ray SS Trevor Story 3B Nolan Arenado OF Charlie Blackmon 1B Ian Desmond OF Matt Holliday 2B Niko Goodrum OF JaCoby Jones C James McCann,,Nick Markakis,OF,4.00%,0
85,1159369060,nyo420 (1/10),0,128.45,P German Márquez OF Giancarlo Stanton SS Manny Machado OF Charlie Blackmon 3B Miguel Andújar 2B Gleyber Torres 1B Paul Goldschmidt OF Matt Kemp C Jonathan Lucroy P Matt Strahm,,Kole Calhoun,OF,4.00%,10
86,1159408967,PimpyPuffs (1/3),0,127.65,P Rich Hill P German Márquez SS Alex Bregman 3B Justin Turner 2B Daniel Murphy 1B Luke Voit C Willson Contreras OF Steven Souza Jr. OF Kole Calhoun OF Franmil Reyes,,Chris Taylor,SS,4.00%,0
86,1159408976,PimpyPuffs (2/3),0,127.65,P Rich Hill P German Márquez SS Alex Bregman 3B Justin Turner 2B Daniel Murphy 1B Luke Voit C Willson Contreras OF Steven Souza Jr. OF Kole Calhoun OF Franmil Reyes,,Mikie Mahtook,OF,3.79%,0
86,1159416930,PimpyPuffs (3/3),0,127.65,P Rich Hill P German Márquez SS Alex Bregman 3B Justin Turner 2B Daniel Murphy 1B Luke Voit C Willson Contreras OF Steven Souza Jr. OF Kole Calhoun OF Franmil Reyes,,Mark Canha,OF,3.79%,0
89,1159288344,joestyx22 (3/4),0,126.85,P Rick Porcello P German Márquez SS Xander Bogaerts 3B Miguel Andújar OF Jackie Bradley Jr. 1B Luke Voit 2B Ian Kinsler OF Mikie Mahtook OF Niko Goodrum C Tony Wolters,,Robinson Canó,2B,3.79%,12
89,1159360751,Arlowe84,0,126.85,P Rick Porcello P German Márquez OF Giancarlo Stanton OF Aaron Hicks 2B Neil Walker 1B Luke Voit SS Marcus Semien OF Matt Adams 3B Kyle Seager C James McCann,,Carlos González,OF,3.79%,3
91,1159349364,berok666,0,126.35,P German Márquez P John Gant OF J.D. Martinez 3B Matt Chapman 2B Jed Lowrie OF Kiké Hernández OF Marwin González 1B Luke Voit SS Marcus Semien C Willson Contreras,,Jason Heyward,OF,3.58%,4
92,1159394100,syobwoc2018 (7/7),0,126.25,P Mike Foltynewicz P Wade LeBlanc OF David Peralta OF Nelson Cruz OF Carlos González 1B Freddie Freeman SS Kiké Hernández C Yadier Molina 3B Johan Camargo 2B Niko Goodrum,,Wade LeBlanc,P,3.58%,24.15
93,1159391289,tvand2514 (5/7),0,125.8,P Rick Porcello P John Gant 3B Alex Bregman 2B Jose Altuve OF George Springer SS Carlos Correa OF Nicholas Castellanos C Martín Maldonado OF Niko Goodrum 1B Victor Martinez,,Javier Báez,SS,3.37%,0
94,1159033496,jsr2424,0,124.95,P J.A. Happ P German Márquez OF Giancarlo Stanton 3B Miguel Andújar 2B Gleyber Torres OF Nicky Delmonico 1B Luke Voit OF JaCoby Jones C Sandy Leon SS Greg Garcia,,Matt Carpenter,3B,3.37%,4
94,1159172941,CHEEZER7 (1/5),0,124.95,P Frankie Montas P Eric Lauer OF J.D. Martinez OF Giancarlo Stanton OF Aaron Hicks SS Xander Bogaerts 3B Miguel Andújar 2B Gleyber Torres 1B Luke Voit C Francisco Cervelli,,Adam Frazier,2B,3.37%,7
96,1159018999,Emac (10/10),0,124.9,P German Márquez P Joe Musgrove SS Alex Bregman OF Giancarlo Stanton 2B Jose Altuve OF George Springer 1B Tyler White 3B Eduardo Núñez OF Kole Calhoun C Sandy Leon,,Francisco Liriano,P,3.37%,0.35
97,1159404379,Isaacdawson55 (2/3),0,124.75,P Frankie Montas P Lucas Giolito OF Mookie Betts SS Alex Bregman OF Giancarlo Stanton 3B Miguel Andújar 2B Jose Altuve OF Gregory Polanco C Kurt Suzuki 1B Luke Voit,,Eduardo Escobar,3B,3.37%,7
98,1159157003,bryan31783977 (3/4),0,124.6,P German Márquez P Robbie Ray OF Mookie Betts OF Kiké Hernández 2B Brian Dozier 1B José Martínez SS Eduardo Escobar C Yadier Molina 3B David Bote OF JaCoby Jones,,Ben Zobrist,OF,3.16%,10
99,1159203325,ohiohaole (4/10),0,124.3,P Robbie Ray P Andrew Heaney OF Mookie Betts OF Khris Davis OF Tyler O'Neill 2B Jed Lowrie 1B Daniel Murphy 3B Johan Camargo SS Andrelton Simmons C Austin Hedges,,Niko Goodrum,2B,3.16%,30
