Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
C,Jose Briceno (10861633),Jose Briceno,10861633,C,3400,LAA@BOS 06/28/2018 07:10PM ET,LAA,6.1
2B/SS,Daniel Robertson (10861608),Daniel Robertson,10861608,2B/SS,3400,HOU@TB 06/28/2018 07:10PM ET,TB,6.68
OF,Kevin Kiermaier (10861610),Kevin Kiermaier,10861610,OF,3400,HOU@TB 06/28/2018 07:10PM ET,TB,6.16
OF,Tony Kemp (10861612),Tony Kemp,10861612,OF,3400,HOU@TB 06/28/2018 07:10PM ET,HOU,5.68
1B/OF,Marwin Gonzalez (10861620),Marwin Gonzalez,10861620,1B/OF,3400,HOU@TB 06/28/2018 07:10PM ET,HOU,6.06
OF,Brett Phillips (10861611),Brett Phillips,10861611,OF,3400,MIL@CIN 06/28/2018 07:10PM ET,MIL,0.67
2B/SS,Eduardo Nunez (10861622),Eduardo Nunez,10861622,2B/SS,3300,LAA@BOS 06/28/2018 07:10PM ET,BOS,5.87
1B,Brad Miller (10861619),Brad Miller,10861619,1B,3300,MIL@CIN 06/28/2018 07:10PM ET,MIL,6.12
3B/SS,Tyler Saladino (10861624),Tyler Saladino,10861624,3B/SS,3300,MIL@CIN 06/28/2018 07:10PM ET,MIL,4.77
2B/SS,Dilson Herrera (10861626),Dilson Herrera,10861626,2B/SS,3300,MIL@CIN 06/28/2018 07:10PM ET,CIN,0
C,Erik Kratz (10861628),Erik Kratz,10861628,C,3300,MIL@CIN 06/28/2018 07:10PM ET,MIL,7.08
2B,Jonathan Villar (10861631),Jonathan Villar,10861631,2B,3300,MIL@CIN 06/28/2018 07:10PM ET,MIL,5.69
OF,Roman Quinn (10861618),Roman Quinn,10861618,OF,3300,WAS@PHI 06/28/2018 07:05PM ET,PHI,0
OF,Nick Williams (10861632),Nick Williams,10861632,OF,3300,WAS@PHI 06/28/2018 07:05PM ET,PHI,4.94
OF,Jabari Blash (10861641),Jabari Blash,10861641,OF,3200,LAA@BOS 06/28/2018 07:10PM ET,LAA,2
OF,Jahmai Jones (10861642),Jahmai Jones,10861642,OF,3200,LAA@BOS 06/28/2018 07:10PM ET,LAA,0
1B,Sam Travis (10861645),Sam Travis,10861645,1B,3200,LAA@BOS 06/28/2018 07:10PM ET,BOS,3.5
3B,Kaleb Cowart (10861646),Kaleb Cowart,10861646,3B,3200,LAA@BOS 06/28/2018 07:10PM ET,LAA,3
2B/3B,Zack Cozart (10861647),Zack Cozart,10861647,2B/3B,3200,LAA@BOS 06/28/2018 07:10PM ET,LAA,6.28
OF,Chris Young (10861650),Chris Young,10861650,OF,3200,LAA@BOS 06/28/2018 07:10PM ET,LAA,3.85
OF,Kole Calhoun (10861651),Kole Calhoun,10861651,OF,3200,LAA@BOS 06/28/2018 07:10PM ET,LAA,4.17
1B/OF,Ji-Man Choi (10861635),Ji-Man Choi,10861635,1B/OF,3200,HOU@TB 06/28/2018 07:10PM ET,TB,5.08
2B/SS,Willy Adames (10861637),Willy Adames,10861637,2B/SS,3200,HOU@TB 06/28/2018 07:10PM ET,TB,6
OF,Mallex Smith (10861639),Mallex Smith,10861639,OF,3200,HOU@TB 06/28/2018 07:10PM ET,TB,5.92
3B,Nick Senzel (10861640),Nick Senzel,10861640,3B,3200,MIL@CIN 06/28/2018 07:10PM ET,CIN,0
SS,Isan Diaz (10861643),Isan Diaz,10861643,SS,3200,MIL@CIN 06/28/2018 07:10PM ET,MIL,0
3B,Lucas Erceg (10861644),Lucas Erceg,10861644,3B,3200,MIL@CIN 06/28/2018 07:10PM ET,MIL,0
OF,Ben Revere (10861649),Ben Revere,10861649,OF,3200,MIL@CIN 06/28/2018 07:10PM ET,CIN,0
OF,Brian Goodwin (10861634),Brian Goodwin,10861634,OF,3200,WAS@PHI 06/28/2018 07:05PM ET,WAS,3.16
C,Andrew Knapp (10861657),Andrew Knapp,10861657,C,3200,WAS@PHI 06/28/2018 07:05PM ET,PHI,4
OF,Michael Hermosillo (10861656),Michael Hermosillo,10861656,OF,3100,LAA@BOS 06/28/2018 07:10PM ET,LAA,1.73
2B/SS,Nolan Fontana (10861658),Nolan Fontana,10861658,2B/SS,3100,LAA@BOS 06/28/2018 07:10PM ET,LAA,2
