,Name,ID,Position,Link,Start Year,End Year
15352,Rey Sanchez,213,2B/SS,statss.aspx?playerid=213&position=2B/SS,1991,2005
15356,Jared Sandberg,1224,3B,statss.aspx?playerid=1224&position=3B,2001,2003
15359,Reggie Sanders,1129,OF,statss.aspx?playerid=1129&position=OF,1991,2007
15376,Danny Sandoval,2344,2B/SS,statss.aspx?playerid=2344&position=2B/SS,2005,2006
15377,Freddy Sandoval,6863,2B/3B/DH,statss.aspx?playerid=6863&position=2B/3B/DH,2008,2009
15378,Jerry Sands,4016,OF,statss.aspx?playerid=4016&position=OF,2011,2016
15405,Benito Santiago,1130,C,statss.aspx?playerid=1130&position=C,1986,2005
15406,Ramon Santiago,1417,2B/SS,statss.aspx?playerid=1417&position=2B/SS,2002,2014
15414,Chad Santos,2657,1B,statss.aspx?playerid=2657&position=1B,2006,2006
15418,Francisco Santos,1742,1B/OF,statss.aspx?playerid=1742&position=1B/OF,2001,2003
15419,Angel Santos,214,2B,statss.aspx?playerid=214&position=2B,2001,2003
15420,Omir Santos,3583,C,statss.aspx?playerid=3583&position=C,2008,2013
15423,Dave Sappelt,6898,OF,statss.aspx?playerid=6898&position=OF,2011,2013
15425,Bronson Sardinha,3585,OF,statss.aspx?playerid=3585&position=OF,2007,2007
15426,Dane Sardinha,353,C,statss.aspx?playerid=353&position=C,2003,2011
15434,Josh Satin,6788,1B/3B,statss.aspx?playerid=6788&position=1B/3B,2011,2014
15447,Michael Saunders,9981,OF,statss.aspx?playerid=9981&position=OF,2009,2017
15475,Bobby Scales,2673,3B/OF,statss.aspx?playerid=2673&position=3B/OF,2009,2010
15499,Logan Schafer,7937,OF,statss.aspx?playerid=7937&position=OF,2011,2016
15501,Jordan Schafer,9883,OF,statss.aspx?playerid=9883&position=OF,2009,2015
15554,Nate Schierholtz,6201,OF,statss.aspx?playerid=6201&position=OF,2007,2014
15577,Konrad Schmidt,7178,C,statss.aspx?playerid=7178&position=C,2010,2012
15599,Brian Schneider,795,C,statss.aspx?playerid=795&position=C,2000,2012
15662,Skip Schumaker,3704,2B/OF,statss.aspx?playerid=3704&position=2B/OF,2005,2015
15690,Luke Scott,3469,DH/OF,statss.aspx?playerid=3469&position=DH/OF,2005,2013
15721,Xavier Scruggs,7409,1B,statss.aspx?playerid=7409&position=1B,2014,2016
15725,Marco Scutaro,1555,2B/SS,statss.aspx?playerid=1555&position=2B/SS,2002,2014
15726,Scott Seabol,846,3B,statss.aspx?playerid=846&position=3B,2001,2005
15734,Todd Sears,1645,1B,statss.aspx?playerid=1645&position=1B,2002,2003
15756,Rob Segedin,11446,1B/3B/OF,statss.aspx?playerid=11446&position=1B/3B/OF,2016,2017
15761,David Segui,169,1B,statss.aspx?playerid=169&position=1B,1990,2004
15762,Fernando Seguignol,1836,1B/OF,statss.aspx?playerid=1836&position=1B/OF,1998,2003
15771,Bill Selby,405,2B/3B,statss.aspx?playerid=405&position=2B/3B,1996,2003
15773,Todd Self,2933,OF,statss.aspx?playerid=2933&position=OF,2005,2005
15778,Justin Sellers,4006,SS,statss.aspx?playerid=4006&position=SS,2011,2014
15783,Steve Selsky,12957,OF,statss.aspx?playerid=12957&position=OF,2016,2017
15827,Richie Sexson,709,1B,statss.aspx?playerid=709&position=1B,1997,2008
15836,Adam Shabala,2954,OF,statss.aspx?playerid=2954&position=OF,2005,2005
15845,Richie Shaffer,13271,1B/DH,statss.aspx?playerid=13271&position=1B/DH,2015,2016
15902,Ryan Shealy,4443,1B,statss.aspx?playerid=4443&position=1B,2005,2010
15920,Andy Sheets,1226,SS,statss.aspx?playerid=1226&position=SS,1996,2002
15921,Gary Sheffield,114,OF,statss.aspx?playerid=114&position=OF,1988,2009
15930,Chris Shelton,1891,1B,statss.aspx?playerid=1891&position=1B,2004,2009
15979,Tsuyoshi Shinjo,1132,OF,statss.aspx?playerid=1132&position=OF,2001,2003
16006,Kelly Shoppach,3867,C,statss.aspx?playerid=3867&position=C,2005,2013
16010,Rick Short,2263,2B,statss.aspx?playerid=2263&position=2B,2005,2005
16031,Terry Shumpert,449,2B,statss.aspx?playerid=449&position=2B,1990,2003
16045,Ruben Sierra,1099,OF,statss.aspx?playerid=1099&position=OF,1986,2006
16088,Randall Simon,497,1B,statss.aspx?playerid=497&position=1B,1997,2006
