,Name,ID,Position,Link,Start Year,End Year
8967,Jason Karnuth,1162,P,statss.aspx?playerid=1162&position=P,2001,2005
8973,Steve Karsay,829,P,statss.aspx?playerid=829&position=P,1993,2006
8975,Jeff Karstens,5879,P,statss.aspx?playerid=5879&position=P,2006,2012
8990,Kenshin Kawakami,9225,P,statss.aspx?playerid=9225&position=P,2009,2010
8993,Justin Kaye,1083,P,statss.aspx?playerid=1083&position=P,2002,2002
8997,Scott Kazmir,4897,P,statss.aspx?playerid=4897&position=P,2004,2016
9036,Randy Keisler,830,P,statss.aspx?playerid=830&position=P,2000,2007
9053,Kris Keller,473,P,statss.aspx?playerid=473&position=P,2002,2002
9103,Ryan Kelly,4858,P,statss.aspx?playerid=4858&position=P,2015,2015
9119,Kyle Kendrick,6230,P,statss.aspx?playerid=6230&position=P,2007,2017
9129,Joe Kennedy,1217,P,statss.aspx?playerid=1217&position=P,2001,2007
9147,Logan Kensing,6166,P,statss.aspx?playerid=6166&position=P,2004,2016
9151,Steve Kent,1218,P,statss.aspx?playerid=1218&position=P,2002,2002
9158,Bobby Keppel,2229,P,statss.aspx?playerid=2229&position=P,2006,2009
9178,Jason Kershner,1566,P,statss.aspx?playerid=1566&position=P,2002,2004
9194,Mike Kickham,11618,P,statss.aspx?playerid=11618&position=P,2013,2014
9195,Masao Kida,1800,P,statss.aspx?playerid=1800&position=P,1999,2005
9201,Dean Kiekhefer,10529,P,statss.aspx?playerid=10529&position=P,2016,2016
9210,Brad Kilby,9823,P,statss.aspx?playerid=9823&position=P,2009,2010
9212,Darryl Kile,1163,P,statss.aspx?playerid=1163&position=P,1991,2002
9228,Byung-Hyun Kim,61,P,statss.aspx?playerid=61&position=P,1999,2007
9229,Sun-Woo Kim,197,P,statss.aspx?playerid=197&position=P,2001,2006
9230,Cole Kimball,9480,P,statss.aspx?playerid=9480&position=P,2011,2011
9261,Ray King,693,P,statss.aspx?playerid=693&position=P,1999,2008
9273,Josh Kinney,3638,P,statss.aspx?playerid=3638&position=P,2006,2012
9276,Matt Kinney,737,P,statss.aspx?playerid=737&position=P,2000,2005
9302,Michael Kirkman,9877,P,statss.aspx?playerid=9877&position=P,2010,2016
9327,Phil Klein,12675,P,statss.aspx?playerid=12675&position=P,2014,2016
9340,Steve Kline,1164,P,statss.aspx?playerid=1164&position=P,1997,2007
9380,Brandon Knight,831,P,statss.aspx?playerid=831&position=P,2001,2008
9398,Eric Knott,62,P,statss.aspx?playerid=62&position=P,2001,2003
9401,Gary Knotts,1428,P,statss.aspx?playerid=1428&position=P,2001,2004
9413,Guido Knudson,12669,P,statss.aspx?playerid=12669&position=P,2015,2015
9416,Masa Kobayashi,3276,P,statss.aspx?playerid=3276&position=P,2008,2009
9420,Billy Koch,924,P,statss.aspx?playerid=924&position=P,1999,2004
9426,Tom Koehler,6570,P,statss.aspx?playerid=6570&position=P,2012,2017
9437,Michael Kohn,8505,P,statss.aspx?playerid=8505&position=P,2010,2015
9440,Dan Kolb,1257,P,statss.aspx?playerid=1257&position=P,1999,2007
9449,Shane Komine,4754,P,statss.aspx?playerid=4754&position=P,2006,2007
9450,Satoru Komiyama,881,P,statss.aspx?playerid=881&position=P,2002,2002
9462,Dae-Sung Koo,8619,P,statss.aspx?playerid=8619&position=P,2005,2005
9472,Mike Koplove,63,P,statss.aspx?playerid=63&position=P,2001,2007
9477,Bobby Korecky,4608,P,statss.aspx?playerid=4608&position=P,2008,2014
9480,John Koronka,2130,P,statss.aspx?playerid=2130&position=P,2005,2009
9504,Ben Kozlowski,1634,P,statss.aspx?playerid=1634&position=P,2002,2002
9550,Zach Kroenke,4383,P,statss.aspx?playerid=4383&position=P,2010,2011
9555,Marc Kroon,1964,P,statss.aspx?playerid=1964&position=P,1995,2004
9600,Eddie Kunz,2862,P,statss.aspx?playerid=2862&position=P,2008,2008
9602,Hong-Chih Kuo,7016,P,statss.aspx?playerid=7016&position=P,2005,2011
9603,Hiroki Kuroda,3283,P,statss.aspx?playerid=3283&position=P,2008,2014
9616,Masumi Kuwata,7782,P,statss.aspx?playerid=7782&position=P,2007,2007
9624,Jairo Labourt,14996,P,statss.aspx?playerid=14996&position=P,2017,2017
9632,John Lackey,1507,P,statss.aspx?playerid=1507&position=P,2002,2017
9646,Aaron Laffey,6248,P,statss.aspx?playerid=6248&position=P,2007,2015
9651,Bobby LaFromboise,7758,P,statss.aspx?playerid=7758&position=P,2013,2015
9687,Chris Lambert,8047,P,statss.aspx?playerid=8047&position=P,2008,2009
