"Name","Team","Game","Pos","PA","H","1B","2B","3B","HR","R","RBI","SB","CS","BB","SO","Yahoo","FanDuel","DraftKings","playerid"
"Hunter Dozier","Royals","KC @ SEA","1B","3.99",".73",".45",".18",".01",".09",".32",".33",".03",".02",".36","1.48","4.54","7.04","5.40","15117"
"Steve Wilkerson","Orioles","LAA @ BAL","2b","3.81",".78",".52",".16",".01",".08",".34",".35",".05",".03",".25",".96","4.49","6.99","5.41","16041"
"Caleb Joseph","Orioles","LAA @ BAL","C","3.68",".78",".51",".17",".01",".09",".38",".35",".03",".02",".21",".95","4.48","6.97","5.39","7087"
"Jeff Mathis","Diamondbacks","SF @ ARI","C","3.88",".73",".49",".17",".03",".04",".34",".34",".02",".01",".46","1.05","4.49","6.98","5.31","3448"
"Austin Romine","Yankees","BOS @ NYY","C","3.71",".76",".51",".15",".00",".10",".35",".34",".02",".01",".29",".98","4.44","6.90","5.32","5491"
"Daniel Robertson","Rays","HOU @ TB","2B","3.90",".67",".47",".11",".01",".08",".34",".30",".02",".01",".47","1.26","4.42","6.85","5.21","14145"
"Brett Gardner","Yankees","BOS @ NYY","LF","3.59",".69",".51",".10",".01",".07",".34",".30",".06",".03",".37",".99","4.36","6.76","5.20","9927"
"Lewis Brinson","Marlins","NYM @ MIA","CF","3.78",".72",".46",".13",".04",".10",".26",".37",".05",".04",".20","1.32","4.31","6.69","5.22","14352"
"Alcides Escobar","Royals","KC @ SEA","SS","3.86",".77",".56",".15",".01",".04",".29",".32",".05",".02",".19",".70","3.96","6.16","4.83","6310"
"Adeiny Hechavarria","Rays","HOU @ TB","SS","3.53",".75",".55",".11",".02",".06",".28",".29",".03",".01",".15",".74","3.69","5.74","4.55","10459"
"Yadiel Rivera","Marlins","NYM @ MIA","DH","3.65",".56",".42",".08",".02",".03",".19",".20",".04",".03",".26","1.39","3.00","4.63","3.64","11863"
