"Name","Team","Game","Pos","PA","H","1B","2B","3B","HR","R","RBI","SB","CS","BB","SO","Yahoo","FanDuel","DraftKings","playerid"
"Devon Travis","Blue Jays","BAL @ TOR","2B","3.86",".94",".58",".24",".02",".11",".43",".50",".05",".03",".21",".68","5.55","8.67","6.67","13862"
"Jurickson Profar","Rangers","HOU @ TEX","SS","4.18",".89",".55",".23",".04",".08",".46",".44",".04",".03",".38",".76","5.58","8.68","6.63","10815"
"Isiah Kiner-Falefa","Rangers","HOU @ TEX","3B","4.46","1.00",".72",".20",".04",".05",".49",".36",".09",".06",".34",".86","5.54","8.58","6.70","16512"
"Mark Canha","Athletics","KC @ OAK","LF","3.76",".87",".49",".23",".01",".13",".44",".46",".02",".01",".28",".74","5.51","8.58","6.54","11445"
"Dylan Cozens","Phillies","PHI @ CHC","DH","4.29",".64",".37",".12",".02",".13",".40",".46",".07",".05",".60","1.79","5.58","8.68","6.44","15115"
"Daniel Robertson","Rays","SEA @ TB","2B","4.02",".92",".66",".16",".02",".09",".46",".42",".02",".02",".44",".86","5.49","8.53","6.54","14145"
"Chris Taylor","Dodgers","LAD @ PIT","SS","4.14",".92",".60",".22",".04",".06",".37",".40",".08",".04",".37","1.02","5.42","8.40","6.53","13757"
"Aledmys Diaz","Blue Jays","BAL @ TOR","SS","3.74",".86",".51",".21",".01",".12",".46",".46",".04",".02",".24",".53","5.42","8.45","6.45","15937"
"Sam Travis","Red Sox","DET @ BOS","1B","4.02",".89",".54",".24",".01",".11",".42",".43",".03",".03",".33","1.09","5.40","8.41","6.44","16263"
"Guillermo Heredia","Mariners","SEA @ TB","CF","4.12",".81",".60",".13",".02",".05",".46",".37",".05",".04",".62",".81","5.37","8.33","6.30","18721"
"Billy Hamilton","Reds","COL @ CIN","CF","3.79",".76",".58",".11",".04",".04",".39",".28",".27",".08",".40","1.02","5.32","8.20","6.42","10199"
"John Hicks","Tigers","DET @ BOS","C","4.21",".90",".54",".24",".01",".11",".37",".45",".04",".03",".26","1.38","5.25","8.18","6.30","12547"
"Stephen Piscotty","Athletics","KC @ OAK","RF","3.88",".88",".57",".21",".01",".09",".43",".42",".03",".02",".32",".67","5.26","8.19","6.28","13367"
"Francisco Pena","Cardinals","MIA @ STL","C","3.89",".89",".59",".18",".01",".13",".39",".52",".02",".01",".21",".76","5.22","8.17","6.27","8298"
"Johnny Field","Rays","SEA @ TB","LF","3.66",".88",".55",".20",".02",".11",".40",".47",".07",".04",".14",".78","5.17","8.07","6.24","15048"
"Rafael Devers","Red Sox","DET @ BOS","3B","3.91",".87",".54",".20",".01",".11",".39",".46",".03",".02",".24",".95","5.16","8.05","6.19","17350"
"Alex Gordon","Royals","KC @ OAK","LF","4.14",".87",".61",".16",".01",".09",".39",".37",".05",".02",".40",".75","5.13","7.96","6.14","5209"
"Tony Wolters","Rockies","COL @ CIN","C","4.11",".79",".55",".16",".01",".07",".40",".37",".04",".03",".56",".83","5.17","8.02","6.08","11470"
"Alcides Escobar","Royals","KC @ OAK","SS","4.56","1.02",".76",".21",".03",".03",".44",".36",".07",".03",".20",".53","5.06","7.86","6.21","6310"
"Chris Davis","Orioles","BAL @ TOR","1B","4.13",".69",".39",".14",".00",".16",".40",".40",".01",".01",".44","1.53","5.17","8.03","6.03","9272"
"J.P. Crawford","Phillies","PHI @ CHC","SS","4.06",".71",".47",".15",".03",".05",".36",".40",".05",".03",".63",".91","5.14","7.98","5.98","15491"
"Bobby Wilson","Twins","CWS @ MIN","C","3.79",".72",".45",".14",".00",".13",".45",".49",".02",".01",".30",".90","5.09","7.98","5.97","6564"
"Jose Iglesias","Tigers","DET @ BOS","SS","3.99",".93",".62",".26",".01",".04",".37",".35",".08",".05",".29",".63","5.02","7.79","6.09","10231"
"Breyvic Valera","Dodgers","LAD @ PIT","SS","4.03",".92",".69",".16",".03",".05",".32",".40",".08",".06",".34",".48","5.00","7.77","6.08","12758"
"Joey Rickard","Orioles","BAL @ TOR","RF","3.89",".80",".51",".19",".01",".08",".42",".35",".05",".03",".36",".97","5.02","7.78","5.96","13277"
"Robinson Chirinos","Rangers","HOU @ TEX","C","3.81",".65",".35",".15",".01",".14",".41",".38",".02",".01",".45","1.52","5.03","7.82","5.86","3142"
"Andrew Knapp","Phillies","PHI @ CHC","C","4.17",".72",".48",".16",".02",".06",".33",".39",".03",".02",".64","1.31","4.99","7.74","5.80","14942"
"Delino DeShields","Rangers","HOU @ TEX","CF","3.69",".75",".53",".14",".03",".05",".38",".28",".16",".08",".37","1.07","4.90","7.56","5.89","11379"
"Bryan Holaday","Marlins","MIA @ STL","C","3.88",".89",".59",".17",".01",".13",".36",".41",".02",".02",".15",".52","4.83","7.52","5.87","11287"
"Jonathan Lucroy","Athletics","KC @ OAK","C","3.64",".89",".62",".19",".02",".06",".41",".38",".01",".01",".27",".40","4.78","7.44","5.76","7870"
"Jose Rondon","White Sox","CWS @ MIN","2B","4.03",".86",".58",".18",".02",".09",".32",".38",".06",".04",".19","1.11","4.72","7.33","5.75","14140"
"Hunter Dozier","Royals","KC @ OAK","1B","4.03",".81",".52",".22",".01",".06",".36",".33",".03",".02",".40","1.13","4.76","7.37","5.67","15117"
"JaCoby Jones","Tigers","DET @ BOS","LF","4.10",".77",".48",".20",".02",".07",".35",".33",".08",".05",".29","1.49","4.70","7.28","5.64","14818"
"Christian Vazquez","Red Sox","DET @ BOS","C","3.78",".92",".62",".23",".01",".05",".36",".38",".04",".03",".19",".53","4.65","7.24","5.67","9774"
"Abraham Almonte","Royals","KC @ OAK","CF","3.80",".82",".56",".17",".03",".06",".37",".35",".06",".03",".29",".60","4.68","7.26","5.63","5486"
"Omar Narvaez","White Sox","CWS @ MIN","C","4.13",".87",".65",".18",".01",".04",".34",".29",".03",".02",".46",".81","4.65","7.18","5.59","13338"
"Elias Diaz","Pirates","LAD @ PIT","C","3.90",".86",".62",".18",".01",".06",".31",".42",".02",".01",".26",".64","4.51","7.04","5.46","11680"
"Austin Wynns","Orioles","BAL @ TOR","C","4.01",".72",".46",".16",".00",".09",".37",".33",".02",".01",".38","1.07","4.56","7.07","5.39","15271"
"Enrique Hernandez","Dodgers","LAD @ PIT","SS","3.91",".72",".45",".17",".02",".08",".30",".39",".02",".02",".35",".94","4.49","7.00","5.33","10472"
"Ryan Goins","Royals","KC @ OAK","SS","3.92",".86",".61",".18",".02",".04",".34",".36",".03",".02",".27",".64","4.44","6.91","5.39","9807"
"Jackie Bradley Jr.","Red Sox","DET @ BOS","CF","3.65",".70",".47",".15",".02",".07",".38",".32",".05",".02",".34",".95","4.46","6.92","5.30","12984"
"Jordy Mercer","Pirates","LAD @ PIT","SS","3.78",".79",".55",".17",".02",".05",".30",".35",".02",".01",".38",".62","4.44","6.90","5.32","6547"
"Charlie Tilson","White Sox","CWS @ MIN","LF","3.90",".87",".65",".16",".03",".02",".31",".32",".10",".06",".20",".71","4.37","6.78","5.40","12983"
"Dixon Machado","Tigers","DET @ BOS","2B","3.86",".80",".56",".21",".01",".02",".35",".30",".06",".02",".28",".89","4.27","6.62","5.15","11472"
"Trayce Thompson","White Sox","CWS @ MIN","CF","3.77",".64",".40",".13",".01",".10",".34",".35",".04",".03",".24","1.33","4.22","6.57","5.02","9952"
"Chris Gimenez","Cubs","PHI @ CHC","C","3.82",".66",".46",".15",".00",".05",".28",".31",".02",".02",".41","1.26","4.04","6.27","4.78","7324"
"Yadiel Rivera","Marlins","MIA @ STL","DH","4.02",".73",".55",".11",".02",".05",".27",".29",".04",".03",".22","1.10","3.74","5.81","4.57","11863"
