,Year,Team,G,AB,PA,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,BB%,K%,BB/K,OBP,SLG,OPS,ISO,Spd,BABIP,UBR,wGDP,wSB,wRC,wRAA,wOBA,wRC+
56,1992,Reds,2191.0,5460.0,6162.0,1418.0,994.0,281.0,44.0,99.0,660.0,606.0,563.0,83.0,888.0,21.0,52.0,66.0,123.0,125.0,65.0,0.26,9.1,14.4,0.63,0.328,0.382,0.71,0.122,4.7,0.291, , ,-1.4,672.0,6.4,0.319,98.0
57,1992,Athletics,1801.0,5387.0,6275.0,1389.0,1004.0,219.0,24.0,142.0,745.0,693.0,707.0,46.0,831.0,49.0,59.0,72.0,139.0,143.0,59.0,0.258,11.3,13.2,0.85,0.346,0.386,0.732,0.129,4.4,0.279, , ,4.3,758.0,80.4,0.334,113.0
58,1992,Tigers,1671.0,5515.0,6310.0,1411.0,957.0,256.0,16.0,182.0,791.0,746.0,675.0,42.0,1055.0,24.0,53.0,43.0,124.0,66.0,45.0,0.256,10.7,16.7,0.64,0.337,0.407,0.744,0.151,3.4,0.284, , ,-5.7,777.0,95.3,0.337,108.0
59,1992,Pirates,2253.0,5527.0,6269.0,1409.0,977.0,272.0,54.0,106.0,693.0,656.0,569.0,88.0,872.0,25.0,56.0,89.0,102.0,110.0,53.0,0.255,9.1,13.9,0.65,0.324,0.381,0.705,0.126,5.0,0.283, , ,0.2,673.0,-4.2,0.316,100.0
60,1992,Braves,2251.0,5480.0,6143.0,1391.0,982.0,223.0,48.0,138.0,682.0,641.0,493.0,58.0,924.0,26.0,50.0,93.0,82.0,126.0,60.0,0.254,8.0,15.0,0.53,0.316,0.388,0.703,0.134,5.1,0.28, , ,0.8,656.0,-7.2,0.316,95.0
61,1992,Expos,2193.0,5477.0,6120.0,1381.0,979.0,263.0,37.0,102.0,648.0,601.0,463.0,43.0,976.0,43.0,55.0,82.0,104.0,196.0,63.0,0.252,7.6,15.9,0.47,0.313,0.37,0.682,0.117,5.5,0.287, , ,13.6,620.0,-41.2,0.309,94.0
62,1992,Dodgers,2296.0,5368.0,6038.0,1333.0,1026.0,201.0,34.0,72.0,548.0,499.0,503.0,36.0,899.0,24.0,40.0,102.0,111.0,142.0,78.0,0.248,8.3,14.9,0.56,0.313,0.339,0.652,0.09,4.4,0.284, , ,-3.0,567.0,-85.5,0.298,90.0
63,1992,Red Sox,1741.0,5461.0,6187.0,1343.0,979.0,259.0,21.0,84.0,599.0,567.0,591.0,46.0,865.0,31.0,43.0,60.0,117.0,44.0,48.0,0.246,9.6,14.0,0.68,0.321,0.347,0.668,0.101,3.0,0.276, , ,-11.2,616.0,-51.8,0.306,83.0
64,1992,Angels,1783.0,5364.0,5917.0,1306.0,996.0,202.0,20.0,88.0,579.0,537.0,416.0,40.0,882.0,40.0,40.0,56.0,137.0,160.0,101.0,0.243,7.0,14.9,0.47,0.301,0.338,0.638,0.094,4.4,0.275, , ,-8.0,525.0,-114.5,0.291,77.0
65,1992,Brewers,1644.0,5504.0,6183.0,1477.0,1088.0,272.0,35.0,82.0,740.0,683.0,511.0,45.0,779.0,33.0,72.0,61.0,102.0,256.0,115.0,0.268,8.3,12.6,0.66,0.33,0.375,0.705,0.107,5.5,0.296, , ,5.7,680.0,11.9,0.319,98.0
66,1992,Mariners,1795.0,5564.0,6180.0,1466.0,1015.0,278.0,24.0,149.0,679.0,638.0,474.0,47.0,841.0,38.0,51.0,52.0,148.0,100.0,55.0,0.263,7.7,13.6,0.56,0.323,0.402,0.725,0.139,4.0,0.285, , ,-2.6,711.0,43.7,0.326,102.0
