"Name","Team","Game","Pos","PA","H","1B","2B","3B","HR","R","RBI","SB","CS","BB","SO","Yahoo","FanDuel","DraftKings","playerid"
"Brian Dozier","Twins","CLE @ MIN","2B","4.61","1.10",".59",".23",".03",".25",".68",".62",".07",".04",".45","1.05","8.01","12.46","9.45","9810"
"Miguel Cabrera","Tigers","TOR @ DET","1B","4.42","1.18",".71",".26",".00",".20",".68",".64",".01",".01",".60",".68","7.99","12.44","9.38","1744"
"Edwin Encarnacion","Indians","CLE @ MIN","DH","4.57",".97",".53",".17",".01",".26",".67",".76",".01",".01",".59","1.14","7.94","12.42","9.18","2151"
"Ryan Braun","Brewers","MIL @ CWS","1B","4.49","1.00",".56",".22",".01",".21",".62",".67",".11",".05",".55",".88","7.90","12.30","9.24","3410"
"DJ LeMahieu","Rockies","LAD @ COL","2B","4.81","1.39","1.01",".24",".05",".09",".79",".48",".07",".04",".50",".75","7.81","12.12","9.41","9874"
"Matt Joyce","Athletics","OAK @ KC","LF","4.90","1.06",".58",".25",".01",".22",".70",".55",".04",".03",".65",".97","7.91","12.29","9.24","3353"
"J.T. Realmuto","Marlins","MIA @ ARI","C","4.70","1.29",".79",".29",".05",".16",".73",".55",".06",".04",".33",".72","7.77","12.08","9.34","11739"
"Justin Upton","Angels","TEX @ LAA","LF","4.37","1.09",".59",".23",".01",".26",".62",".74",".04",".02",".34","1.07","7.81","12.21","9.21","5222"
"Trevor Story","Rockies","LAD @ COL","SS","4.36","1.00",".51",".23",".06",".21",".61",".72",".07",".04",".50","1.43","7.84","12.24","9.17","12564"
"Whit Merrifield","Royals","OAK @ KC","2B","4.55","1.24",".82",".25",".03",".13",".65",".57",".17",".08",".35",".73","7.72","11.99","9.29","11281"
"Derek Dietrich","Marlins","MIA @ ARI","LF","4.81","1.21",".68",".28",".06",".18",".70",".49",".02",".02",".48",".84","7.75","12.02","9.23","10542"
"Brett Gardner","Yankees","NYY @ BAL","LF","5.00","1.19",".84",".20",".02",".13",".73",".50",".12",".05",".59",".71","7.72","11.98","9.17","9927"
"Matt Chapman","Athletics","OAK @ KC","3B","4.46","1.01",".49",".23",".03",".25",".62",".70",".03",".02",".44","1.14","7.74","12.09","9.06","16505"
"David Peralta","Diamondbacks","MIA @ ARI","LF","4.20","1.17",".69",".25",".07",".17",".60",".71",".04",".03",".36",".63","7.60","11.87","9.05","2136"
"Willson Contreras","Cubs","CHC @ NYM","C","4.47","1.09",".65",".22",".02",".20",".62",".73",".03",".02",".47",".99","7.63","11.94","8.97","11609"
"Joey Votto","Reds","CIN @ SD","1B","4.50","1.11",".73",".20",".01",".18",".64",".55",".02",".01",".72",".62","7.64","11.86","8.96","4314"
"Manny Machado","Orioles","NYY @ BAL","SS","4.39","1.15",".68",".21",".00",".25",".58",".67",".04",".03",".34",".71","7.56","11.79","9.00","11493"
"Michael Conforto","Mets","CHC @ NYM","CF","4.49",".91",".53",".16",".02",".19",".63",".61",".03",".02",".87","1.08","7.68","11.95","8.83","16376"
"Jose Abreu","White Sox","MIL @ CWS","1B","4.34","1.17",".68",".26",".02",".22",".59",".66",".01",".01",".38",".75","7.56","11.79","8.99","15676"
"Nelson Cruz","Mariners","TB @ SEA","DH","4.24",".99",".53",".16",".00",".29",".60",".71",".01",".01",".44","1.11","7.58","11.84","8.86","2434"
